Name,Address,Latitude,Longitude
Leslieville Farmers Market,"150 Greenwood Ave, Toronto",43.66861111,-79.3295
Deeply Rooted Farmers Market,"455 Cosburn Ave, East York",43.69155556,-79.33605556
Sorauren FarmersMarket,"50 Wabash Ave, Toronto",43.64805556,-79.44294444
Trinity Bellwoods Farmers Market,"Shaw St & Dundas St W, Toronto",43.64958333,-79.41747222
East York Farmers Market,"850 Coxwell Ave, Toronto",43.69144444,-79.32741667
Underpass Park Farmers Market,"33 St Lawrence St, Toronto",43.65558647,-79.35495739
Dufferin Grove FarmersMarket,"875 Dufferin St, Toronto",43.65701272,-79.43350872
North York Farmers Market,"5100 Yonge St, Toronto",43.76784711,-79.4131044
Allan Gardens Farmers Market,"160 Gerrard St E, Toronto",43.66214204,-79.37398418
St. Lawrence Market North Farmers Market,"Front St E & Jarvis St, Toronto",43.6495592,-79.37173898
Evergreen Saturday Farmers Market,"550 Bayview Ave, Toronto",43.68463592,-79.36537227
The Stop Farmers Market,"601 Christie St, Toronto",43.68026204,-79.42286076
Humber Bay Farmers Market,"2225 Lake Shore Blvd W, Toronto",43.62033754,-79.48158732
Etobicoke Civic Centre Farmers Market,"399 The West Mall, Toronto",43.64400689,-79.56509818
Withrow Farmers Market,"725 Logan Ave, Toronto",43.67655532,-79.34750499
Eglinton Way Farmers Market,"125 Burnaby Blvd, Toronto, ON M5N 1G5",43.70440824,-79.41253263
Cabbagetown Farmers Market,"191 Winchester St, Toronto, ON M4X 1V4",43.66687005,-79.36198793
Davisville Village Market,"14 Acacia Rd, Toronto, ON M4S 2K4",43.70022586,-79.38971743
Sick Kids Farmers Market,"55 University Ave, Toronto, ON M5J 2H7",43.64658471,-79.38435272
Scarborough Farmers  Market - Rosebank Park,"1501 Progress Ave, Scarborough, ON M1B 5Z1",43.79318158,-79.23414921
Montgomery’s Inn Farmers Market,"4709 Dundas St W, Toronto, ON M9A 1A8",43.65172838,-79.52576421
Annette Village Farmers Market,"680 Annette St, Toronto, ON M6S 2C5",43.65926174,-79.48492033
Bloor-Borden Farmers  Market,"300 Borden St, Toronto, ON M5S 2N5",43.66508534,-79.40870995
Nathan Phillips Square Farmers Market,"100 Queen St W, Toronto, ON M5H 2N3",43.65265017,-79.38360656
Malvern Farmers Market," 90 Littles Rd Scarborough, Ontario, M1B 5E2 ",43.8186345,-79.20541121
East Lynn Park Farmers Market,"1949 Danforth Ave, Toronto, ON M4C 1J4",43.68457249,-79.31574713
Flemington Community Farmers Market (FoodShare Toronto),"150 Grenoble Dr, North York, ON M3C 1B9",43.71373516,-79.32627847
Junction Farmers Market,"275 Keele St, Toronto, ON M6P 2K5",43.66225872,-79.46253687
Harbourfront Farmers Market,"235 Queens Quay W, Toronto, ON M5J 2G8",43.63919649,-79.38206151
Weston Village BIA Farmers Market,"34 John St, York, ON M9N 0B2",43.70142648,-79.51745184
YZD Farmers Market,"34 Hanover Rd, North York, ON M3K 0E2",43.73770537,-79.46957326
